,Product Number,material,mfr_part_number,PLANT,item_category_group,SERIAL_NO_PROFILE
0,Y5B38US,,,,,
1,Y4Z81UT,,,,,
2,V0Q02UA,,,,,
3,1BJ89UP,,,,,
4,Z1Z83UT,,,,,
5,Z3P78UA,,,,,
6,V0C26UP,,,,,
7,V8N88AA,,,,,
8,X6X43LA,,,,,
9,W0E72US,,,,,
10,Z1Y20US,,,,,
11,Z8U96UC,,,,,
12,X3G33PC,,,,,
13,W3X19UC,,,,,
14,X7W93UA,,,,,
15,Z3N83UC,,,,,
16,1FC00US,,,,,
17,Z8V31UC,,,,,
18,W5L71UP,,,,,
19,Z3U43US,,,,,
20,Y4Z27US,,,,,
21,V1G99UT,,,,,
22,P5V65UT,,,,,
23,V9C35AA,,,,,
24,W5L84UP,,,,,
25,Z2K96UA,,,,,
26,V8P27AA,,,,,
27,W2L73UA,,,,,
28,1FD75US,,,,,
29,T3L77UT,,,,,
30,W8E64UP,,,,,
31,Y6P40UP,,,,,
32,Z9N45UP,,,,,
33,W2L17UAR,,,,,
34,Y0M36AA,,,,,
35,1BE31UP,,,,,
36,W2R53UC,,,,,
37,Z9J34UP,,,,,
38,M7T49UC,,,,,
39,L6D81AV,,,,,
40,X9U90UT,,,,,
41,Y1F04UC,,,,,
42,L9K18UT,,,,,
43,T4N71UT,,,,,
44,1DB29UP,,,,,
45,Z4U69US,,,,,
46,V2V91UT,,,,,
47,W8E49UP,,,,,
48,W2R50UC,,,,,
49,W7B95UA,,,,,
50,1BJ83UP,,,,,
51,W0R84UA,,,,,
52,X7T97UA,,,,,
53,1CS57UP,,,,,
54,W6H02US,,,,,
55,X6V87UA,,,,,
56,N9C43AA,,,,,
57,W2L16UAR,,,,,
58,W9D36UP,,,,,
59,X2D64UT,,,,,
60,X2D83UT,,,,,
61,1GE82UP,,,,,
62,L9K16UT,,,,,
63,1EL95UA,,,,,
64,1BT00UT,,,,,
65,L8W27UC,,,,,
66,W2M13UA,,,,,
67,X8D93UP,,,,,
68,Z3P75UA,,,,,
69,X8X53UC,,,,,
70,X9T84UT,,,,,
71,1GF51US,,,,,
72,N5S60UA,,,,,
73,Y5X40UA,,,,,
74,Y2P34UT,,,,,
75,W7D62UA,,,,,
76,X8X91UC,,,,,
77,Z0H09EC,,,,,
78,V1S99UC,,,,,
79,V8F06US,,,,,
80,W0C83UT,,,,,
81,Z2K95UA,,,,,
82,1CZ60UP,,,,,
83,P7P93UT,,,,,
84,Z9Q39UP,,,,,
85,X7U97UA,,,,,
86,W5X86UT,,,,,
87,1FY30UC,,,,,
88,V0N10AV,,,,,
89,Y9G29UT,,,,,
90,Z9G22UA,,,,,
91,1FA21US,,,,,
92,Z8M06UP,,,,,
93,Y1E85UC,,,,,
94,Z1Z74UT,,,,,
95,V6B68UC,,,,,
96,Y9G07UT,,,,,
97,V8C62US,,,,,
98,L1D31UC,,,,,
99,X6G29AA,,,,,
100,W3H94UP,,,,,
101,W3H34UP,,,,,
102,T6Y98UP,,,,,
103,T4N75UT,,,,,
104,1BQ23LA,,,,,
105,Z4Z26UA,,,,,
106,M8Z99EC,,,,,
107,T4L77UT,,,,,
108,Y1W73US,,,,,
109,X2D53UP,,,,,
110,Z2D83UT,,,,,
111,Z9P29UP,,,,,
112,L9K21UT,,,,,
113,V8P30AA,,,,,
114,L9K70UT,,,,,
115,T6U98UP,,,,,
116,V1H59UT,,,,,
117,T8Y57US,,,,,
118,L9F47UT,,,,,
119,V6D03UC,,,,,
120,W5X78UA,,,,,
121,T8Y92AW,,,,,
122,W2G12UC,,,,,
123,1HB02LA,,,,,
124,X2D62UT,,,,,
125,X7Q92UA,,,,,
126,1FA67UP,,,,,
127,W5Y41UT,,,,,
128,W7U59US,,,,,
129,1LC32UP,,,,,
130,V6C59UC,,,,,
131,Y0E98UP,Y0E98UP#AB5,Y0E98UP#AB5,620,NORM,Z001
132,X4B09UC,,,,,
133,Z9W14UP,,,,,
134,H0GM0AA,,,,,
135,1KC00US,,,,,
136,X1F00UC,,,,,
137,X0B55US,,,,,
138,X8Y84US,,,,,
139,W4Q77UC,,,,,
140,X1Z56US,,,,,
141,1BL26UP,,,,,
142,W4Q86UC,,,,,
143,Y5S40UA,,,,,
144,W2A73US,,,,,
145,Y2P24UT,,,,,
146,1FY92UT,,,,,
147,W5Z14UT,,,,,
148,Z1Z80UT,,,,,
149,1CV48UP,,,,,
150,T6K81US,,,,,
151,V0R85EC,,,,,
152,X7U77UA,,,,,
153,X6F60AA,,,,,
154,M9Z68AAR,,,,,
155,1BP90UA,,,,,
156,W2M90UA,,,,,
157,X8A65UP,,,,,
158,L8Z55AV,,,,,
159,1CU98UP,,,,,
160,1JZ32US,,,,,
161,Z6N76UP,,,,,
162,X6X72LA,,,,,
163,W2M75UAR,,,,,
164,Y1Y69US,,,,,
165,M6G48AV,,,,,
166,W3Q09US,,,,,
167,X9V54UT,,,,,
168,W8R26US,,,,,
169,1FD19UP,,,,,
170,Y6C85US,,,,,
171,Z8U76UC,,,,,
172,W1Z84US,,,,,
173,Z6P75US,,,,,
174,W7D87UAR,,,,,
175,818907R-999,,,,,
176,X9P61US,,,,,
177,Z4N95UA,,,,,
178,1GG09UT,,,,,
179,Y9E35US,,,,,
180,X9A75US,,,,,
181,X7U78UA,,,,,
182,L5L34US,,,,,
183,W3G89UP,,,,,
184,Y1W49US,,,,,
185,W0T00UT,,,,,
186,W4Q87UC,,,,,
187,1GD42UP,,,,,
188,Z8L55UP,,,,,
189,Z2A56UT,,,,,
190,W2N32UAR,,,,,
191,W6F50US,,,,,
192,X0H96UA,,,,,
193,Z2D61UT,,,,,
194,Y2Q34UP,,,,,
195,Z2A65UT,,,,,
196,T9D61US,,,,,
197,X9U65UT,,,,,
198,1NP46UP,,,,,
199,W2L56UAR,,,,,
200,X2B00UC,,,,,
201,1CV49UP,,,,,
202,Y6T91UP,,,,,
203,X7V56UA,,,,,
204,W9J24US,,,,,
205,Y2P10UP,,,,,
206,Y3R28UC,,,,,
207,W2L20UA,,,,,
